"Fuel Efficiency","كفاءة الوقود"
"Theft likely","سرقة محتملة"
"Suspicious","مشتبه به"
"Heavy truck","شاحنة ثقيلة"
"Medium truck","شاحنة متوسطة"
"Light vehicle","مركبة خفيفة"
"GPS km","كيلومترات GPS"
"IM km","كيلومترات IM"
"the typed odometer","العداد المُدخل عند المحطة"
"fuel-card export","تقرير بطاقة الوقود"
"IM Fill-Drain report","تقرير التعبئة والتفريغ من IM"
"IM Fuel Consumption report","تقرير استهلاك الوقود من IM"
"Odometer went backwards","رجع عداد المسافة إلى الخلف"
"Refilled {0} h after the last fill","أُعيدت التعبئة بعد {0} ساعة من التعبئة السابقة"
"{0} L in one fill is more than the tanks hold ({1}: up to {2} L)","{0} لتر في تعبئة واحدة أكثر مما تتسعه الخزانات ({1}: حتى {2} لتر)"
"{0} L is {1}x this truck's usual fill","{0} لتر أي {1} ضعف التعبئة المعتادة لهذه الشاحنة"
"Refuelled after only {0} km","أُعيدت التعبئة بعد {0} كم فقط"
"{0} fill(s) bigger than the tanks ({1}: up to {2} L)","{0} تعبئة أكبر من سعة الخزانات ({1}: حتى {2} لتر)"
"Paid for {0} L, the tank sensor saw {1} L arrive: {2} L missing","دُفع ثمن {0} لتر، ورصد حساس الخزان وصول {1} لتر فقط: {2} لتر مفقودة"
"Tank sensor saw {0} L drained out ({1} time(s))","رصد حساس الخزان تفريغ {0} لتر ({1} مرة)"
"Tank sensor saw {0} L drained out","رصد حساس الخزان تفريغ {0} لتر"
"Tank sensor saw {0} L slowly siphoned","رصد حساس الخزان سحب {0} لتر ببطء"
"The tank sensor showed no fuel coming in or going out while the truck drove, so it is not working and was not used","لم يُظهر حساس الخزان أي وقود يدخل أو يخرج بينما كانت الشاحنة تسير، فهو لا يعمل ولم يُستخدم"
"The tank sensor saw only {0} of the {1} L paid for, which would mean {2} L/100 km, too little for a {3}: it sees part of the fuel (one of two tanks, or its calibration), so it was not used","رصد حساس الخزان {0} فقط من {1} لتر مدفوعة، أي {2} لتر/100 كم، وهذا أقل مما تحتاجه {3}: فالحساس يرى جزءاً من الوقود فقط (أحد خزانين، أو خطأ في المعايرة)، لذلك لم يُستخدم"
"The tank sensor saw {0} L arrive but the card paid for only {1} L: the truck also fills up elsewhere","رصد حساس الخزان وصول {0} لتر بينما دُفع بالبطاقة ثمن {1} لتر فقط: الشاحنة تُعبأ من مكان آخر أيضاً"
"Burns {0} L/100 km by {1}; the most a {2} can burn is {3}","يستهلك {0} لتر/100 كم حسب {1}؛ وأقصى ما يمكن أن تستهلكه {2} هو {3}"
"Burns {0} L/100 km by {1}; normal for a {2} is up to {3}","يستهلك {0} لتر/100 كم حسب {1}؛ والمعدل الطبيعي لـ{2} حتى {3}"
"{0}% more fuel per km than similar trucks","يستهلك وقوداً أكثر بنسبة {0}% لكل كم من الشاحنات المماثلة"
"Typed odometer is {0}% off IM's distance","يختلف العداد المُدخل بنسبة {0}% عن المسافة المسجلة في IM"
"Odometer went backwards {0} time(s)","رجع عداد المسافة إلى الخلف {0} مرة"
"{0} fill(s) after almost no driving","{0} تعبئة بعد قيادة شبه معدومة"
"{0} refill(s) within {1} h","{0} إعادة تعبئة خلال {1} ساعات"
"{0} unusually large fill(s)","{0} تعبئة كبيرة بشكل غير معتاد"
"The GPS track is missing large parts of the period, so its distance was not used","مسار GPS ناقص لفترات كبيرة من المدة، لذلك لم تُستخدم مسافته"
"GPS read failed: {0}","تعذرت قراءة GPS: {0}"
"IM's distance for this truck is impossible ({0} km in {1} days), so it was not used","مسافة IM لهذه الشاحنة غير منطقية ({0} كم خلال {1} يوماً)، لذلك لم تُستخدم"
"The tracker looks faulty (IM's own distance for it is impossible): its GPS reads {0} km but the typed odometer reads {1} km, so the odometer was used","يبدو جهاز التتبع معطلاً (مسافة IM نفسها له غير منطقية): يقرأ GPS ‏{0} كم بينما يقرأ العداد المُدخل {1} كم، لذلك استُخدم العداد"
"{0} fills from {1} to {2} bought {3} L over {4} km by {5}: a {6} burns at most {7} L on that and its tanks hold {8} L, so at least {9} L did not go into it","{0} تعبئات من {1} إلى {2} اشترت {3} لتر على {4} كم حسب {5}: أقصى ما تحرقه {6} على هذه المسافة {7} لتر وخزاناتها تتسع {8} لتر، فلم يدخلها {9} لتر على الأقل"
"One of {0} fills that bought more than the truck could burn and hold","واحدة من {0} تعبئات اشترت أكثر مما تحرقه الشاحنة وتتسعه خزاناتها"
"Only one fill, so no distance between fills","تعبئة واحدة فقط، فلا توجد مسافة بين تعبئتين"
"No odometer typed at the pump","لم يُدخل العداد عند المحطة"
"The odometer went backwards {0} time(s), so it was not used","رجع العداد إلى الخلف {0} مرة، لذلك لم يُستخدم"
"Under {0} km: too short to judge","أقل من {0} كم: مسافة قصيرة لا تكفي للحكم"
"No GPS data for these dates","لا توجد بيانات GPS لهذه الفترة"
"The tracker was off at {0} of {1} fills, so this distance misses trips","كان جهاز التتبع متوقفاً عند {0} من {1} تعبئة، لذلك تنقص هذه المسافة رحلات"
"The tracker looks faulty and the typed odometer disagrees with it","يبدو جهاز التتبع معطلاً، والعداد المُدخل لا يتفق معه"
"The tracker was off at {0} of {1} fills and the typed odometer does not back this distance","كان جهاز التتبع متوقفاً عند {0} من {1} تعبئة، والعداد المُدخل لا يؤيد هذه المسافة"
"IM's distance ({0} km) is impossible, so it was set aside","مسافة IM ‏({0} كم) غير منطقية، لذلك استُبعدت"
"This truck is not in this report","هذه الشاحنة غير موجودة في هذا التقرير"
"This report shows no distance for this truck","هذا التقرير لا يُظهر أي مسافة لهذه الشاحنة"
"Not on IM","غير موجودة على IM"
"This report was not uploaded","هذا التقرير غير مرفوع"
"Re-analyse the report to see this","تلزم إعادة تحليل التقرير لرؤية هذا"
"Fewer than two card fills in its dates","أقل من تعبئتين بالبطاقة ضمن فترته"
"Covers under {0} days, too short to use on its own","يغطي أقل من {0} يوماً، وهي مدة لا تكفي لاستخدامه وحده"
"IM fleet could not be read: {0}","تعذرت قراءة أسطول IM: {0}"
"{0} covers {1}, but the fuel card has no fills in those dates, so it was not used. Export it for {2}.","{0} يغطي الفترة {1}، لكن بطاقة الوقود لا تحتوي على تعبئات خلالها، لذلك لم يُستخدم. صدّره للفترة {2}."
"{0} covers {1}, but the fuel card has no fills in those dates, so it will not be used. Export it for {2}.","{0} يغطي الفترة {1}، لكن بطاقة الوقود لا تحتوي على تعبئات خلالها، لذلك لن يُستخدم. صدّره للفترة {2}."
"{0} {1}: {2} of its {3} vehicles are trucks in the fuel card; {4} card fills fall in its dates.","{0} {1}: {2} من أصل {3} مركبة فيه موجودة في بطاقة الوقود، و{4} تعبئة تقع ضمن فترته."
"This does not look like a fuel-card export: no header row with Vehicle, Number of liters and Date.","لا يبدو هذا الملف تقرير بطاقة وقود: لا يوجد صف عناوين يحتوي على Vehicle و Number of liters و Date."
"This IM report measures distance in {0}. Export it in km.","هذا التقرير من IM يقيس المسافة بوحدة {0}. صدّره بالكيلومتر."
"This IM report measures fuel in {0}. Export it in liters.","هذا التقرير من IM يقيس الوقود بوحدة {0}. صدّره باللتر."
"This is not an {0}.","هذا الملف ليس {0}."
"This {0} has no dates line ('… to …') under its title.","لا يحتوي {0} على سطر الفترة ('… to …') تحت العنوان."
"This {0} has no Distance column.","لا يحتوي {0} على عمود Distance."
"Choose a file.","اختر ملفاً."
